"DATE","OPEN","HIGH","LOW","CLOSE","ADJ CLOSE","VOLUME"
"Mar 20, 2026",248.11,249.20,246.00,247.99,247.99,88331081
"Mar 19, 2026",249.40,251.83,247.30,248.96,248.96,34864100
"Mar 18, 2026",252.63,254.94,249.00,249.94,249.94,35757900
"Mar 17, 2026",252.96,255.13,252.18,254.23,254.23,32361600
"Mar 16, 2026",252.11,253.89,249.88,252.82,252.82,32074200
"Mar 13, 2026",255.48,256.33,249.52,250.12,250.12,36930000
"Mar 12, 2026",258.66,258.95,254.18,255.76,255.76,40794000
"Mar 11, 2026",261.09,262.13,259.55,260.81,260.81,26218900
"Mar 10, 2026",257.65,262.48,256.95,260.83,260.83,30590800
"Mar 09, 2026",255.69,261.15,253.68,259.88,259.88,38218500
"Mar 06, 2026",258.63,258.77,254.37,257.46,257.46,41120000
"Mar 05, 2026",260.79,261.56,257.25,260.29,260.29,49658600
"Mar 04, 2026",264.65,266.15,261.42,262.52,262.52,39803100
"Mar 03, 2026",263.48,265.56,260.13,263.75,263.75,38568900
"Mar 02, 2026",262.41,266.53,260.20,264.72,264.72,41827900
"Feb 27, 2026",272.81,272.81,262.89,264.18,264.18,72366500
"Feb 26, 2026",274.95,276.11,270.80,272.95,272.95,32345100
"Feb 25, 2026",271.78,274.94,271.05,274.23,274.23,33714300
"Feb 24, 2026",267.86,274.89,267.71,272.14,272.14,47014600
"Feb 23, 2026",263.49,269.43,263.38,266.18,266.18,37308200
"Feb 20, 2026",258.97,264.75,258.16,264.58,264.58,42070500
"Feb 19, 2026",262.60,264.48,260.05,260.58,260.58,30845300
"Feb 18, 2026",263.60,266.82,262.45,264.35,264.35,34203300
"Feb 17, 2026",258.05,266.29,255.54,263.88,263.88,58469100
"Feb 13, 2026",262.01,262.23,255.45,255.78,255.78,56290700
"Feb 12, 2026",275.59,275.72,260.18,261.73,261.73,81077200
"Feb 11, 2026",274.70,280.18,274.45,275.50,275.50,51931300
"Feb 10, 2026",274.89,275.37,272.94,273.68,273.68,34376900
"Feb 09, 2026",277.91,278.20,271.70,274.62,274.62,44623400
"Feb 06, 2026",277.12,280.91,276.93,278.12,277.86,50453400
"Feb 05, 2026",278.13,279.50,273.23,275.91,275.65,52977400
"Feb 04, 2026",272.29,278.95,272.29,276.49,276.23,90545700
"Feb 03, 2026",269.20,271.88,267.61,269.48,269.23,64394700
"Feb 02, 2026",260.03,270.49,259.21,270.01,269.76,73913400
"Jan 30, 2026",255.17,261.90,252.18,259.48,259.24,92443400
"Jan 29, 2026",258.00,259.65,254.41,258.28,258.04,67253000
"Jan 28, 2026",257.65,258.86,254.51,256.44,256.20,41288000
"Jan 27, 2026",259.17,261.95,258.21,258.27,258.03,49648300
"Jan 26, 2026",251.48,256.56,249.80,255.41,255.17,55969200
"Jan 23, 2026",247.32,249.41,244.68,248.04,247.81,41689000
"Jan 22, 2026",249.20,251.00,248.15,248.35,248.12,39708300
"Jan 21, 2026",248.70,251.56,245.18,247.65,247.42,54641700
"Jan 20, 2026",252.73,254.79,243.42,246.70,246.47,80267500
"Jan 16, 2026",257.90,258.90,254.93,255.53,255.29,72142800
"Jan 15, 2026",260.65,261.04,257.05,258.21,257.97,39388600
"Jan 14, 2026",259.49,261.82,256.71,259.96,259.72,40019400
"Jan 13, 2026",258.72,261.81,258.39,261.05,260.81,45730800
"Jan 12, 2026",259.16,261.30,256.80,260.25,260.01,45263800
"Jan 09, 2026",259.08,260.21,256.22,259.37,259.13,39997000
"Jan 08, 2026",257.02,259.29,255.70,259.04,258.80,50419300
"Jan 07, 2026",263.20,263.68,259.81,260.33,260.09,48309800
"Jan 06, 2026",267.00,267.55,262.12,262.36,262.11,52352100
"Jan 05, 2026",270.64,271.51,266.14,267.26,267.01,45647200
"Jan 02, 2026",272.26,277.84,269.00,271.01,270.76,37838100
"Dec 31, 2025",273.06,273.68,271.75,271.86,271.61,27293600
"Dec 30, 2025",272.81,274.08,272.28,273.08,272.82,22139600
"Dec 29, 2025",272.69,274.36,272.35,273.76,273.50,23715200
"Dec 26, 2025",274.16,275.37,272.86,273.40,273.14,21521800
"Dec 24, 2025",272.34,275.43,272.20,273.81,273.55,17910600
"Dec 23, 2025",270.84,272.50,269.56,272.36,272.11,29642000
"Dec 22, 2025",272.86,273.88,270.51,270.97,270.72,36571800
